agent,t,queue_clean,queue_attacked
maxpressure,158,23.57720005354264,23.670507643965987
maxpressure,159,25.33883270811396,18.552012058115196
maxpressure,160,21.436707960246345,23.21101757161077
maxpressure,161,23.750270769635335,23.398346372169332
maxpressure,162,21.087441310946595,25.859615337426764
maxpressure,163,24.942435118332185,23.449619049919995
maxpressure,164,21.508329233913283,23.824774569420477
maxpressure,165,23.279222270104064,21.34608983366773
maxpressure,166,21.97728704993397,21.84917253390958
maxpressure,167,22.59230583937635,24.375294931634823
maxpressure,168,23.29819824104684,23.11018127942218
maxpressure,169,23.490056826249525,25.578708927331256
maxpressure,170,22.51349351281803,21.450055387554197
maxpressure,171,21.9526477767861,22.20249949381058
maxpressure,172,21.090575786355593,21.97987672543034
maxpressure,173,21.50598084061894,21.438212445693125
maxpressure,174,23.646383753050948,22.64274013182213
maxpressure,175,23.527506106610627,21.832585051978047
maxpressure,176,21.482262423456024,18.999263173862573
maxpressure,177,21.542348179015598,23.016431366042585
maxpressure,178,21.776047161843003,22.9370751123913
maxpressure,179,23.524430526258474,21.449952832023413
maxpressure,180,21.258395697156253,23.26313445619515
maxpressure,181,22.900224749872184,26.067044249539215
maxpressure,182,19.8226585342193,24.288416104310105
maxpressure,183,23.99230509019954,21.72718336711913
maxpressure,184,22.455963637096364,22.828442513920038
maxpressure,185,20.848136183368428,21.03950699615672
maxpressure,186,23.089438547203738,20.650299069720543
maxpressure,187,16.755276309726554,23.13147268242266
maxpressure,188,20.464928420854715,22.880419708098678
maxpressure,189,24.011749034829002,23.624218515674226
maxpressure,190,22.508138697413102,20.524971739484627
maxpressure,191,21.334944944543352,22.420483101292092
maxpressure,192,20.365742346721046,22.766730542790807
maxpressure,193,22.64831534841301,21.100891760490526
maxpressure,194,22.237362010642368,20.90373159336609
maxpressure,195,21.286143648721758,22.964416790257786
maxpressure,196,21.79487691574528,23.549439505515366
maxpressure,197,23.684216723452128,20.98659069316823
maxpressure,198,22.254213388605166,20.535932046857138
maxpressure,199,23.251594932037698,19.7570954721952
maxpressure,200,22.033229607300424,23.142764147159237
maxpressure,201,20.867487960480464,23.88755216327397
maxpressure,202,24.473328765176337,24.749834559488654
maxpressure,203,23.169109613459543,22.230753216575895
maxpressure,204,20.54326511570515,26.498795518247324
maxpressure,205,22.693766284752364,23.758410031795428
maxpressure,206,24.29308634951565,22.7913863009213
maxpressure,207,21.86517952619257,20.656385011728723
maxpressure,208,19.478187369540557,22.079809934134165
maxpressure,209,24.18872596751878,24.403827771960916
maxpressure,210,20.54340475777467,22.819450853678685
maxpressure,211,23.656734836373403,20.01825257018234
maxpressure,212,20.894128221215034,21.09618462426156
maxpressure,213,23.32901194534827,24.211752642239155
maxpressure,214,26.77010150941128,23.47843859538232
maxpressure,215,21.25828142773565,23.925335349437802
maxpressure,216,21.594941575977906,17.2573606277197
maxpressure,217,22.940113190992562,24.204507120890874
maxpressure,218,22.682998246630532,21.892529442233347
maxpressure,219,23.013996584130812,22.155978092022167
maxpressure,220,22.77210911858704,20.12330822106287
maxpressure,221,20.1263892515879,25.350191011277836
maxpressure,222,23.451061697072575,23.4010585328925
maxpressure,223,20.879674469920175,25.377008629518976
maxpressure,224,21.536146202045504,25.4518491412716
maxpressure,225,24.29670408890084,22.86291274656667
maxpressure,226,23.8071087391369,23.358421579518694
maxpressure,227,24.91762823721637,25.23471066549315
maxpressure,228,20.354446021392036,22.73085492564866
maxpressure,229,22.009922212715686,25.619478573987596
maxpressure,230,22.82951102216129,23.455653022599467
maxpressure,231,26.33367816779459,23.27374492537059
maxpressure,232,22.80976611906311,24.130752987182305
maxpressure,233,24.261643616453618,24.5317127654683
maxpressure,234,23.687443542707545,24.240419366589567
maxpressure,235,20.87223386947457,25.010065432648798
maxpressure,236,24.846506138723235,21.584202726448577
maxpressure,237,21.2368822546819,25.946244549182968
maxpressure,238,23.27311807208577,24.34560132817632
maxpressure,239,23.955405020956267,22.779457719953964
maxpressure,240,25.376099189248713,27.712650057126286
maxpressure,241,26.988065700501945,23.470971748522864
maxpressure,242,22.817951627992024,23.725388109007024
maxpressure,243,24.217212216380606,24.23798806134151
maxpressure,244,25.322094522809795,25.66480768445005
maxpressure,245,26.270994741370217,23.23018903291832
maxpressure,246,26.340429269991137,23.03412745854405
maxpressure,247,25.262121991175395,27.45182550309458
maxpressure,248,26.86763471061407,26.568341644636664
maxpressure,249,28.350898293538492,22.891399119549455
maxpressure,250,23.487435655180725,24.676816220280656
maxpressure,251,25.480699121943946,24.821829988635432
maxpressure,252,24.558225764887887,24.15106995864547
maxpressure,253,25.637530106383736,27.11103115166055
maxpressure,254,23.28680604607736,26.212163342833314
maxpressure,255,28.385571335049022,23.530723950978498
maxpressure,256,23.744793640896724,24.499890067360525
maxpressure,257,28.365414769053785,24.145220551385574
maxpressure,258,23.22645594798159,25.635356992289644
maxpressure,259,26.338234027532394,26.46623311290141
maxpressure,260,24.781637975822743,27.584929988086625
maxpressure,261,25.570754348451665,27.002047753343483
maxpressure,262,26.10202970315416,22.613577117125775
maxpressure,263,27.25374385923329,25.633624472241152
maxpressure,264,26.78373351876955,25.53710052622251
maxpressure,265,25.654110065187407,22.81999648129824
maxpressure,266,26.481779365670278,26.28992830436799
maxpressure,267,29.353539976238974,26.877025144446744
maxpressure,268,31.564299533932886,26.30901227405114
maxpressure,269,28.93022769709811,25.06027385327635
maxpressure,270,24.12337787514894,25.405327979403037
maxpressure,271,25.387963463965974,25.037735285115808
maxpressure,272,24.32130717536673,28.047994215895923
maxpressure,273,28.648444177125782,25.46791583868576
maxpressure,274,27.32188354324491,27.318745352616823
maxpressure,275,26.430258141774445,25.78935212449752
maxpressure,276,27.052072496977857,29.157387742265193
maxpressure,277,26.712143835202532,25.432744118740878
maxpressure,278,27.106069363762927,25.82354130942403
maxpressure,279,27.39649274908153,26.97644912098861
maxpressure,280,28.026844582703195,26.40907193158245
maxpressure,281,27.469807823328207,27.773876105474457
maxpressure,282,25.335155494808234,29.045132230605695
maxpressure,283,26.967710448557572,24.61051201613174
maxpressure,284,31.543906245596716,28.092539426621208
maxpressure,285,29.44002915016209,24.80520384500573
maxpressure,286,27.648414518139038,26.970703579523732
maxpressure,287,28.31502467641122,25.232132743349204
maxpressure,288,28.19476262494652,28.02761521762086
maxpressure,289,25.83323931287578,27.177172404517844
maxpressure,290,26.019015356513407,25.106730206038453
maxpressure,291,29.675044244037032,23.751999145358738
maxpressure,292,27.98819742959575,29.388592772853983
maxpressure,293,27.672417298245442,28.910397309172577
maxpressure,294,31.080494142233057,27.99359217812554
maxpressure,295,29.500029626381306,26.17420478518388
maxpressure,296,27.282289727389337,24.790996107667212
maxpressure,297,26.42913840959475,25.5687977093304
maxpressure,298,31.515645361184998,29.21329358347537
maxpressure,299,28.195810794992912,28.862849655228462
maxpressure,300,26.525927983516624,26.43954273408926
maxpressure,301,27.518208170583854,29.20692521425512
maxpressure,302,27.92294206607042,27.978643223267703
maxpressure,303,28.465979536638173,27.644845002306102
maxpressure,304,27.781998765561152,28.748995662546463
maxpressure,305,25.53096142970619,28.692559319628234
maxpressure,306,29.147188475741505,25.483117009496063
maxpressure,307,27.99922241351026,32.4443052236633
maxpressure,308,27.032978881702252,29.66061192819094
maxpressure,309,25.44889138799986,27.399660606285654
maxpressure,310,27.058245401083468,26.70959584889918
maxpressure,311,29.17560649384126,28.70292534721865
maxpressure,312,29.403628651538487,30.62455512659157
maxpressure,313,29.57488997738744,29.97920912505825
maxpressure,314,27.61687009152109,30.08885529094003
maxpressure,315,28.41695320006454,28.856771814565036
maxpressure,316,26.175710826069164,32.90177383007109
maxpressure,317,28.740905542851518,29.900121240497864
maxpressure,318,27.287117737547913,31.20466160841148
maxpressure,319,28.49000068942523,29.61914109223304
maxpressure,320,29.71796957977878,34.42624796721364
maxpressure,321,25.727562913724945,34.581094274416316
maxpressure,322,29.450988015312966,37.00625205861249
maxpressure,323,28.139342411858923,38.06896789986338
maxpressure,324,29.529073059120908,34.46755912256785
maxpressure,325,33.07706600565668,35.41748034341408
maxpressure,326,27.482041175659276,33.53936849472036
maxpressure,327,25.7717565239054,36.861599074989826
maxpressure,328,27.861321840607385,36.26607642523989
maxpressure,329,29.2607355652642,36.76145998383829
maxpressure,330,27.586287457246595,38.31162566980859
