sim_time,fake_vehicles_injected,total_vehicles,avg_wait_time
2290,11,45,17.288888888888888
2300,10,47,16.78723404255319
2310,10,45,20.333333333333332
2320,10,52,20.23076923076923
2330,11,52,23.26923076923077
2340,9,60,22.866666666666667
2350,10,59,26.610169491525422
2360,11,63,29.063492063492063
2370,10,61,35.16393442622951
2380,11,61,23.147540983606557
2390,11,60,28.15
2400,12,60,17.316666666666666
2410,12,60,9.233333333333333
2420,11,60,8.5
2430,10,62,9.774193548387096
2440,10,62,10.629032258064516
2450,11,58,14.137931034482758
2460,11,56,16.607142857142858
2470,11,52,21.596153846153847
2480,10,57,23.94736842105263
2490,10,55,18.472727272727273
2500,10,62,14.983870967741936
2510,10,69,15.057971014492754
2520,10,69,17.681159420289855
2530,11,65,22.076923076923077
2540,9,57,23.24561403508772
2550,10,55,25.01818181818182
2560,11,48,30.083333333333332
2570,10,51,32.411764705882355
2580,11,47,19.851063829787233
2590,9,43,25.627906976744185
2600,10,46,20.956521739130434
2610,10,47,9.702127659574469
2620,13,47,10.72340425531915
2630,12,48,12.541666666666666
2640,12,46,13.717391304347826
2650,10,51,14.588235294117647
2660,11,53,14.88679245283019
2670,10,46,19.23913043478261
2680,11,49,20.428571428571427
2690,10,54,21.35185185185185
2700,10,52,10.192307692307692
2710,12,49,14.448979591836734
2720,10,49,18.510204081632654
2730,12,46,9.630434782608695
2740,11,48,8.0
2750,11,51,9.843137254901961
2760,10,54,5.537037037037037
2770,11,50,7.86
2780,10,52,10.153846153846153
2790,11,55,6.672727272727273
2800,12,57,9.105263157894736
2810,10,63,7.396825396825397
2820,12,70,9.82857142857143
2830,12,69,13.492753623188406
2840,10,71,17.450704225352112
2850,10,76,20.657894736842106
2860,9,78,25.064102564102566
2870,9,76,31.07894736842105
2880,10,80,34.75
2890,11,80,40.125
2900,11,76,47.973684210526315
2910,12,72,40.958333333333336
2920,12,70,31.228571428571428
2930,12,74,23.716216216216218
2940,10,75,26.026666666666667
2950,11,67,22.08955223880597
2960,9,60,24.75
2970,9,60,28.533333333333335
2980,11,68,14.397058823529411
2990,11,67,17.074626865671643
3000,11,65,19.43076923076923
3010,12,71,20.577464788732396
3020,12,69,12.73913043478261
3030,12,72,11.958333333333334
3040,12,68,15.044117647058824
3050,12,69,18.014492753623188
3060,12,66,22.348484848484848
3070,11,60,20.083333333333332
3080,12,60,14.233333333333333
3090,10,60,12.033333333333333
3100,10,63,6.126984126984127
3110,11,65,7.030769230769231
3120,10,70,8.7
3130,10,74,11.256756756756756
3140,11,75,12.346666666666666
3150,11,76,15.539473684210526
3160,9,81,19.0
3170,11,81,16.123456790123456
3180,10,85,12.91764705882353
3190,11,87,13.839080459770114
3200,11,87,16.885057471264368
3210,11,82,21.78048780487805
3220,11,79,27.0126582278481
3230,11,80,31.05
3240,11,75,37.986666666666665
3250,11,76,33.48684210526316
3260,11,77,31.974025974025974
3270,9,77,34.883116883116884
3280,9,79,37.56962025316456
3290,11,79,41.55696202531646
3300,10,80,39.025
3310,11,80,33.65
3320,10,79,34.18987341772152
3330,12,77,39.48051948051948
3340,12,74,39.41891891891892
3350,13,77,39.83116883116883
3360,11,77,43.298701298701296
3370,11,80,27.7125
3380,12,80,26.8875
3390,11,83,15.614457831325302
3400,11,82,13.695121951219512
3410,11,86,15.790697674418604
3420,11,85,18.41176470588235
3430,10,85,19.705882352941178
3440,11,86,22.406976744186046
3450,10,87,27.344827586206897
3460,12,90,23.0
3470,10,89,16.235955056179776
3480,12,85,14.8
3490,12,85,12.376470588235295
3500,11,85,15.552941176470588
3510,11,82,12.817073170731707
3520,10,78,14.0
3530,10,84,16.261904761904763
3540,10,82,20.609756097560975
3550,11,76,27.19736842105263
3560,12,67,26.925373134328357
3570,12,69,17.3768115942029
3580,11,64,17.71875
3590,10,65,19.907692307692308
